"Code","Fullresp","Modality","Audio","Video","Resp","ProverbioCond","audPoA","vidPoA","McGurkCond","Correct","Subject","Group"
223,"PA","audiovisual","P","M","P","audiovisual incongruent","labial","labial","audiovisual congruent",TRUE,"nm01 mcgurk1.zil","nonmusician"
162,"TA","audio","T","P","T","audio","alveolar","labial","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
143,"FA","audio","F","M","F","audio","labiodental","labial","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
174,"LA","audio","L","F","L","audio","alveolar","labiodental","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
222,"PA","audiovisual","P","P","P","audiovisual congruent","labial","labial","audiovisual congruent",TRUE,"nm01 mcgurk1.zil","nonmusician"
187,"KA","audio","K","L","K","audio","velar","alveolar","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
177,"LA","audio","L","L","L","audio","alveolar","alveolar","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
141,"FA","audio","F","B","F","audio","labiodental","labial","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
247,"SA","audiovisual","F","L","S","audiovisual incongruent","labiodental","alveolar","audiovisual incongruent",FALSE,"nm01 mcgurk1.zil","nonmusician"
147,"FA","audio","F","L","F","audio","labiodental","alveolar","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
245,"SA","audiovisual","F","D","S","audiovisual incongruent","labiodental","alveolar","audiovisual incongruent",FALSE,"nm01 mcgurk1.zil","nonmusician"
235,"NA","audiovisual","M","D","N","audiovisual incongruent","labial","alveolar","audiovisual incongruent",FALSE,"nm01 mcgurk1.zil","nonmusician"
254,"DA","audiovisual","D","F","D","audiovisual incongruent","alveolar","labiodental","audiovisual incongruent",TRUE,"nm01 mcgurk1.zil","nonmusician"
132,"MA","audio","M","P","M","audio","labial","labial","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
243,"FA","audiovisual","F","M","F","audiovisual incongruent","labiodental","labial","audiovisual incongruent",TRUE,"nm01 mcgurk1.zil","nonmusician"
175,"LA","audio","L","D","L","audio","alveolar","alveolar","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
122,"PA","audio","P","P","P","audio","labial","labial","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
137,"MA","audio","M","L","M","audio","labial","alveolar","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
116,"BA","audio","B","T","B","audio","labial","alveolar","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
236,"NA","audiovisual","M","T","N","audiovisual incongruent","labial","alveolar","audiovisual incongruent",FALSE,"nm01 mcgurk1.zil","nonmusician"
117,"BA","audio","B","L","B","audio","labial","alveolar","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
216,"A","audiovisual","B","T","A","audiovisual incongruent","labial","alveolar","audiovisual incongruent",FALSE,"nm01 mcgurk1.zil","nonmusician"
136,"MA","audio","M","T","M","audio","labial","alveolar","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
287,"KA","audiovisual","K","L","K","audiovisual incongruent","velar","alveolar","audiovisual incongruent",TRUE,"nm01 mcgurk1.zil","nonmusician"
214,"FA","audiovisual","B","F","F","audiovisual incongruent","labial","labiodental","audiovisual incongruent",FALSE,"nm01 mcgurk1.zil","nonmusician"
154,"DA","audio","D","F","D","audio","alveolar","labiodental","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
226,"TA","audiovisual","P","T","T","audiovisual incongruent","labial","alveolar","audiovisual incongruent",FALSE,"nm01 mcgurk1.zil","nonmusician"
123,"TA","audio","P","M","T","audio","labial","labial","audio",FALSE,"nm01 mcgurk1.zil","nonmusician"
285,"KA","audiovisual","K","D","K","audiovisual incongruent","velar","alveolar","audiovisual incongruent",TRUE,"nm01 mcgurk1.zil","nonmusician"
158,"DA","audio","D","K","D","audio","alveolar","velar","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
168,"TA","audio","T","K","T","audio","alveolar","velar","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
184,"KA","audio","K","F","K","audio","velar","labiodental","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
284,"KA","audiovisual","K","F","K","audiovisual incongruent","velar","labiodental","audiovisual incongruent",TRUE,"nm01 mcgurk1.zil","nonmusician"
211,"BA","audiovisual","B","B","B","audiovisual congruent","labial","labial","audiovisual congruent",TRUE,"nm01 mcgurk1.zil","nonmusician"
166,"TA","audio","T","T","T","audio","alveolar","alveolar","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
273,"WA","audiovisual","L","M","W","audiovisual incongruent","alveolar","labial","audiovisual incongruent",FALSE,"nm01 mcgurk1.zil","nonmusician"
182,"KA","audio","K","P","K","audio","velar","labial","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
155,"DA","audio","D","D","D","audio","alveolar","alveolar","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
224,"TA","audiovisual","P","F","T","audiovisual incongruent","labial","labiodental","audiovisual incongruent",FALSE,"nm01 mcgurk1.zil","nonmusician"
118,"BA","audio","B","K","B","audio","labial","velar","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
131,"MA","audio","M","B","M","audio","labial","labial","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
288,"KA","audiovisual","K","K","K","audiovisual congruent","velar","velar","audiovisual congruent",TRUE,"nm01 mcgurk1.zil","nonmusician"
144,"FA","audio","F","F","F","audio","labiodental","labiodental","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
165,"TA","audio","T","D","T","audio","alveolar","alveolar","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
283,"KA","audiovisual","K","M","K","audiovisual incongruent","velar","labial","audiovisual incongruent",TRUE,"nm01 mcgurk1.zil","nonmusician"
238,"LA","audiovisual","M","K","L","audiovisual incongruent","labial","velar","audiovisual incongruent",FALSE,"nm01 mcgurk1.zil","nonmusician"
157,"DA","audio","D","L","D","audio","alveolar","alveolar","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
267,"TA","audiovisual","T","L","T","audiovisual incongruent","alveolar","alveolar","audiovisual congruent",TRUE,"nm01 mcgurk1.zil","nonmusician"
281,"KA","audiovisual","K","B","K","audiovisual incongruent","velar","labial","audiovisual incongruent",TRUE,"nm01 mcgurk1.zil","nonmusician"
161,"TA","audio","T","B","T","audio","alveolar","labial","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
237,"LA","audiovisual","M","L","L","audiovisual incongruent","labial","alveolar","audiovisual incongruent",FALSE,"nm01 mcgurk1.zil","nonmusician"
128,"PA","audio","P","K","P","audio","labial","velar","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
212,"BA","audiovisual","B","P","B","audiovisual incongruent","labial","labial","audiovisual congruent",TRUE,"nm01 mcgurk1.zil","nonmusician"
